
Segment Center Intensity Max Ch=3 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
191,,Segment,3,1,Image 1,2,1,100000011,510000002643,
116,,Segment,3,3,Image 1,2,1,100000011,510000002661,
209,,Segment,3,3,Image 1,3,1,100000011,510000002664,
193,,Segment,3,3,Image 1,2,1,100000011,510000002675,
170,,Segment,3,2,Image 1,1,1,100000012,510000002702,
184,,Segment,3,3,Image 1,1,1,100000012,510000002709,
194,,Segment,3,4,Image 1,1,1,100000012,510000002731,
189,,Segment,3,4,Image 1,2,1,100000012,510000002740,
180,,Segment,3,2,Image 1,2,1,100000012,510000002746,
178,,Segment,3,3,Image 1,2,1,100000012,510000002752,
178,,Segment,3,4,Image 1,2,1,100000012,510000002760,
183,,Segment,3,5,Image 1,2,1,100000012,510000002776,
195,,Segment,3,5,Image 1,3,1,100000012,510000002784,
196,,Segment,3,4,Image 1,3,1,100000012,510000002791,
176,,Segment,3,1,Image 1,1,1,100000012,510000002813,
188,,Segment,3,2,Image 1,1,1,100000012,510000002820,
136,,Segment,3,2,Image 1,2,1,100000012,510000002832,
209,,Segment,3,3,Image 1,2,1,100000012,510000002836,
163,,Segment,3,2,Image 1,1,1,100000012,510000002867,
184,,Segment,3,3,Image 1,1,1,100000012,510000002869,
202,,Segment,3,3,Image 1,2,1,100000012,510000002897,
188,,Segment,3,2,Image 1,2,1,100000012,510000002921,
188,,Segment,3,3,Image 1,2,1,100000012,510000002930,
192,,Segment,3,3,Image 1,3,1,100000012,510000002947,
191,,Segment,3,2,Image 1,2,1,100000012,510000002966,
132,,Segment,3,3,Image 1,3,1,100000012,510000002982,
205,,Segment,3,4,Image 1,3,1,100000012,510000002984,
199,,Segment,3,4,Image 1,4,1,100000012,510000002999,
192,,Segment,3,3,Image 1,2,1,100000012,510000003014,
181,,Segment,3,3,Image 1,3,1,100000012,510000003020,
174,,Segment,3,3,Image 1,1,1,100000013,510000003039,
179,,Segment,3,3,Image 1,2,1,100000013,510000003056,
186,,Segment,3,4,Image 1,2,1,100000013,510000003061,
191,,Segment,3,4,Image 1,3,1,100000013,510000003074,
75,,Segment,3,3,Image 1,2,1,100000013,510000003081,
187,,Segment,3,4,Image 1,2,1,100000013,510000003083,
156,,Segment,3,4,Image 1,3,1,100000013,510000003090,
187,,Segment,3,5,Image 1,3,1,100000013,510000003093,
167,,Segment,3,5,Image 1,4,1,100000013,510000003106,
