
Segment Intensity Max Ch=3 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
215,,Segment,3,3,Image 1,3,1,100000012,510000002947,
222,,Segment,3,2,Image 1,2,1,100000012,510000002966,
198,,Segment,3,3,Image 1,3,1,100000012,510000002982,
223,,Segment,3,4,Image 1,3,1,100000012,510000002984,
230,,Segment,3,4,Image 1,4,1,100000012,510000002999,
216,,Segment,3,3,Image 1,2,1,100000012,510000003014,
209,,Segment,3,3,Image 1,3,1,100000012,510000003020,
199,,Segment,3,3,Image 1,1,1,100000013,510000003039,
186,,Segment,3,3,Image 1,2,1,100000013,510000003056,
198,,Segment,3,4,Image 1,2,1,100000013,510000003061,
207,,Segment,3,4,Image 1,3,1,100000013,510000003074,
171,,Segment,3,3,Image 1,2,1,100000013,510000003081,
196,,Segment,3,4,Image 1,2,1,100000013,510000003083,
175,,Segment,3,4,Image 1,3,1,100000013,510000003090,
194,,Segment,3,5,Image 1,3,1,100000013,510000003093,
212,,Segment,3,5,Image 1,4,1,100000013,510000003106,
209,,Segment,3,4,Image 1,3,1,100000013,510000003111,
202,,Segment,3,4,Image 1,4,1,100000013,510000003122,
202,,Segment,3,1,Image 1,1,1,100000013,510000003143,
185,,Segment,3,1,Image 1,1,1,100000013,510000003156,
231,,Segment,3,2,Image 1,1,1,100000013,510000003160,
185,,Segment,3,2,Image 1,2,1,100000013,510000003185,
191,,Segment,3,3,Image 1,2,1,100000013,510000003188,
200,,Segment,3,4,Image 1,2,1,100000013,510000003191,
212,,Segment,3,4,Image 1,3,1,100000013,510000003206,
175,,Segment,3,1,Image 1,1,1,100000013,510000003211,
219,,Segment,3,4,Image 1,1,1,100000013,510000003215,
211,,Segment,3,4,Image 1,2,1,100000013,510000003235,
176,,Segment,3,3,Image 1,2,1,100000013,510000003244,
153,,Segment,3,2,Image 1,2,1,100000013,510000003251,
188,,Segment,3,3,Image 1,2,1,100000013,510000003253,
225,,Segment,3,3,Image 1,3,1,100000013,510000003269,
207,,Segment,3,3,Image 1,3,1,100000013,510000003292,
160,,Segment,3,2,Image 1,1,1,100000000,510000003309,
86,,Segment,3,1,Image 1,1,1,100000000,510000003310,
127,,Segment,3,2,Image 1,1,1,100000000,510000003311,
160,,Segment,3,1,Image 1,1,1,100000001,510000003312,
156,,Segment,3,2,Image 1,1,1,100000001,510000003313,
184,,Segment,3,1,Image 1,1,1,100000002,510000003314,
202,,Segment,3,1,Image 1,1,1,100000002,510000003315,
213,,Segment,3,2,Image 1,1,1,100000002,510000003316,
179,,Segment,3,0,Image 1,1,1,100000003,510000003317,
202,,Segment,3,1,Image 1,1,1,100000003,510000003318,
175,,Segment,3,1,Image 1,2,1,100000003,510000003319,
141,,Segment,3,2,Image 1,2,1,100000003,510000003320,
