
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
24,,Segment,2,2,Image 1,1,1,100000001,510000003313,
0,,Segment,2,1,Image 1,1,1,100000002,510000003314,
0,,Segment,2,1,Image 1,1,1,100000002,510000003315,
0,,Segment,2,2,Image 1,1,1,100000002,510000003316,
5,,Segment,2,0,Image 1,1,1,100000003,510000003317,
19,,Segment,2,1,Image 1,1,1,100000003,510000003318,
10,,Segment,2,1,Image 1,2,1,100000003,510000003319,
0,,Segment,2,2,Image 1,2,1,100000003,510000003320,
0,,Segment,2,6,Image 1,4,1,100000003,510000003321,
0,,Segment,2,7,Image 1,4,1,100000003,510000003322,
0,,Segment,2,7,Image 1,5,1,100000003,510000003323,
64,,Segment,2,4,Image 1,5,1,100000003,510000003324,
6,,Segment,2,0,Image 1,1,1,100000004,510000003325,
6,,Segment,2,1,Image 1,2,1,100000004,510000003326,
8,,Segment,2,0,Image 1,1,1,100000004,510000003327,
0,,Segment,2,1,Image 1,1,1,100000005,510000003328,
29,,Segment,2,1,Image 1,1,1,100000006,510000003329,
31,,Segment,2,2,Image 1,2,1,100000006,510000003330,
45,,Segment,2,1,Image 1,1,1,100000006,510000003331,
0,,Segment,2,1,Image 1,1,1,100000007,510000003332,
0,,Segment,2,1,Image 1,1,1,100000007,510000003333,
0,,Segment,2,0,Image 1,1,1,100000008,510000003334,
0,,Segment,2,1,Image 1,1,1,100000008,510000003335,
4,,Segment,2,0,Image 1,1,1,100000009,510000003336,
18,,Segment,2,2,Image 1,1,1,100000009,510000003337,
54,,Segment,2,0,Image 1,1,1,100000010,510000003338,
54,,Segment,2,0,Image 1,1,1,100000010,510000003339,
2,,Segment,2,0,Image 1,1,1,100000011,510000003340,
6,,Segment,2,1,Image 1,1,1,100000011,510000003341,
6,,Segment,2,1,Image 1,2,1,100000011,510000003342,
13,,Segment,2,2,Image 1,2,1,100000011,510000003343,
35,,Segment,2,3,Image 1,2,1,100000011,510000003344,
2,,Segment,2,1,Image 1,2,1,100000011,510000003345,
6,,Segment,2,2,Image 1,2,1,100000011,510000003346,
2,,Segment,2,0,Image 1,1,1,100000011,510000003347,
6,,Segment,2,1,Image 1,1,1,100000012,510000003348,
1,,Segment,2,1,Image 1,1,1,100000012,510000003349,
14,,Segment,2,1,Image 1,1,1,100000013,510000003350,
19,,Segment,2,2,Image 1,1,1,100000013,510000003351,
21,,Segment,2,2,Image 1,2,1,100000013,510000003352,
21,,Segment,2,3,Image 1,3,1,100000013,510000003353,
47,,Segment,2,2,Image 1,1,1,100000013,510000003354,
47,,Segment,2,3,Image 1,1,1,100000013,510000003355,
