
Segment Center Intensity Min Ch=3 Img=1
 ==================== 
Segment Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
109,,Segment,3,3,Image 1,2,1,100000013,510000003188,
92,,Segment,3,4,Image 1,2,1,100000013,510000003191,
108,,Segment,3,4,Image 1,3,1,100000013,510000003206,
62,,Segment,3,1,Image 1,1,1,100000013,510000003211,
70,,Segment,3,4,Image 1,1,1,100000013,510000003215,
89,,Segment,3,4,Image 1,2,1,100000013,510000003235,
116,,Segment,3,3,Image 1,2,1,100000013,510000003244,
92,,Segment,3,2,Image 1,2,1,100000013,510000003251,
100,,Segment,3,3,Image 1,2,1,100000013,510000003253,
57,,Segment,3,3,Image 1,3,1,100000013,510000003269,
111,,Segment,3,3,Image 1,3,1,100000013,510000003292,
103,,Segment,3,2,Image 1,1,1,100000000,510000003309,
24,,Segment,3,1,Image 1,1,1,100000000,510000003310,
41,,Segment,3,2,Image 1,1,1,100000000,510000003311,
26,,Segment,3,1,Image 1,1,1,100000001,510000003312,
111,,Segment,3,2,Image 1,1,1,100000001,510000003313,
28,,Segment,3,1,Image 1,1,1,100000002,510000003314,
28,,Segment,3,1,Image 1,1,1,100000002,510000003315,
178,,Segment,3,2,Image 1,1,1,100000002,510000003316,
77,,Segment,3,0,Image 1,1,1,100000003,510000003317,
77,,Segment,3,1,Image 1,1,1,100000003,510000003318,
27,,Segment,3,1,Image 1,2,1,100000003,510000003319,
27,,Segment,3,2,Image 1,2,1,100000003,510000003320,
30,,Segment,3,6,Image 1,4,1,100000003,510000003321,
30,,Segment,3,7,Image 1,4,1,100000003,510000003322,
30,,Segment,3,7,Image 1,5,1,100000003,510000003323,
119,,Segment,3,4,Image 1,5,1,100000003,510000003324,
35,,Segment,3,0,Image 1,1,1,100000004,510000003325,
35,,Segment,3,1,Image 1,2,1,100000004,510000003326,
136,,Segment,3,0,Image 1,1,1,100000004,510000003327,
21,,Segment,3,1,Image 1,1,1,100000005,510000003328,
106,,Segment,3,1,Image 1,1,1,100000006,510000003329,
93,,Segment,3,2,Image 1,2,1,100000006,510000003330,
89,,Segment,3,1,Image 1,1,1,100000006,510000003331,
41,,Segment,3,1,Image 1,1,1,100000007,510000003332,
41,,Segment,3,1,Image 1,1,1,100000007,510000003333,
49,,Segment,3,0,Image 1,1,1,100000008,510000003334,
49,,Segment,3,1,Image 1,1,1,100000008,510000003335,
111,,Segment,3,0,Image 1,1,1,100000009,510000003336,
92,,Segment,3,2,Image 1,1,1,100000009,510000003337,
93,,Segment,3,0,Image 1,1,1,100000010,510000003338,
93,,Segment,3,0,Image 1,1,1,100000010,510000003339,
29,,Segment,3,0,Image 1,1,1,100000011,510000003340,
29,,Segment,3,1,Image 1,1,1,100000011,510000003341,
29,,Segment,3,1,Image 1,2,1,100000011,510000003342,
34,,Segment,3,2,Image 1,2,1,100000011,510000003343,
79,,Segment,3,3,Image 1,2,1,100000011,510000003344,
29,,Segment,3,1,Image 1,2,1,100000011,510000003345,
37,,Segment,3,2,Image 1,2,1,100000011,510000003346,
76,,Segment,3,0,Image 1,1,1,100000011,510000003347,
66,,Segment,3,1,Image 1,1,1,100000012,510000003348,
66,,Segment,3,1,Image 1,1,1,100000012,510000003349,
43,,Segment,3,1,Image 1,1,1,100000013,510000003350,
43,,Segment,3,2,Image 1,1,1,100000013,510000003351,
43,,Segment,3,2,Image 1,2,1,100000013,510000003352,
58,,Segment,3,3,Image 1,3,1,100000013,510000003353,
128,,Segment,3,2,Image 1,1,1,100000013,510000003354,
146,,Segment,3,3,Image 1,1,1,100000013,510000003355,
