
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
108660,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000011,800000263,
108929,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000264,
108695,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000011,800000265,
109020,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000011,800000266,
108821,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000011,800000267,
109099,µm,Point,Pt Distance from Origin,4,1,Segment Terminal,100000011,800000268,
108971,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000011,800000269,
108691,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000011,800000270,
108760,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000271,
108686,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000272,
108683,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000011,800000273,
108675,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000274,
108426,µm,Point,Pt Distance from Origin,1,1,Segment Terminal,100000011,800000275,
108676,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000011,800000276,
108606,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000277,
108640,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000011,800000278,
108446,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000279,
108632,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000011,800000280,
108473,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000281,
108611,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000011,800000282,
108580,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000283,
108709,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000011,800000284,
108886,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000011,800000285,
107241,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000012,800000286,
107448,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000012,800000287,
107326,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000012,800000288,
107425,µm,Point,Pt Distance from Origin,3,1,Segment Terminal,100000012,800000289,
107167,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000012,800000290,
107229,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000012,800000291,
106999,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000012,800000292,
107028,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000012,800000293,
107209,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000012,800000294,
107132,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000012,800000295,
