
Segment Center Intensity Sum Ch=2 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
114,,Segment,2,2,Image 1,2,1,100000004,510000003688,
202,,Segment,2,3,Image 1,3,1,100000004,510000003689,
67,,Segment,2,0,Image 1,1,1,100000005,510000003690,
103,,Segment,2,1,Image 1,2,1,100000005,510000003691,
91,,Segment,2,2,Image 1,2,1,100000005,510000003692,
149,,Segment,2,3,Image 1,2,1,100000005,510000003693,
252,,Segment,2,6,Image 1,2,1,100000005,510000003694,
252,,Segment,2,3,Image 1,2,1,100000006,510000003695,
160,,Segment,2,1,Image 1,1,1,100000006,510000003696,
156,,Segment,2,1,Image 1,1,1,100000006,510000003697,
243,,Segment,2,2,Image 1,1,1,100000006,510000003698,
176,,Segment,2,1,Image 1,1,1,100000007,510000003699,
218,,Segment,2,1,Image 1,1,1,100000007,510000003700,
145,,Segment,2,3,Image 1,1,1,100000008,510000003701,
110,,Segment,2,1,Image 1,1,1,100000009,510000003702,
100,,Segment,2,1,Image 1,1,1,100000009,510000003703,
81,,Segment,2,1,Image 1,1,1,100000009,510000003704,
97,,Segment,2,1,Image 1,1,1,100000010,510000003705,
313,,Segment,2,4,Image 1,2,1,100000010,510000003706,
135,,Segment,2,1,Image 1,1,1,100000011,510000003707,
264,,Segment,2,2,Image 1,1,1,100000011,510000003708,
272,,Segment,2,3,Image 1,2,1,100000011,510000003709,
142,,Segment,2,1,Image 1,1,1,100000011,510000003710,
303,,Segment,2,2,Image 1,1,1,100000011,510000003711,
180,,Segment,2,1,Image 1,1,1,100000011,510000003712,
284,,Segment,2,2,Image 1,1,1,100000011,510000003713,
315,,Segment,2,2,Image 1,2,1,100000011,510000003714,
47,,Segment,2,1,Image 1,1,1,100000012,510000003715,
77,,Segment,2,1,Image 1,1,1,100000012,510000003716,
241,,Segment,2,5,Image 1,1,1,100000012,510000003717,
123,,Segment,2,1,Image 1,1,1,100000013,510000003718,
306,,Segment,2,2,Image 1,1,1,100000013,510000003719,
377,,Segment,2,3,Image 1,1,1,100000013,510000003720,
249,,Segment,2,2,Image 1,2,1,100000013,510000003721,
73,,Segment,2,1,Image 1,1,1,100000013,510000003722,
137,,Segment,2,1,Image 1,1,1,100000014,510000003723,
220,,Segment,2,2,Image 1,1,1,100000014,510000003724,
299,,Segment,2,3,Image 1,1,1,100000014,510000003725,
229,,Segment,2,2,Image 1,1,1,100000014,510000003726,
299,,Segment,2,3,Image 1,1,1,100000014,510000003727,
