
Segment Center Intensity Mean Ch=1 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
139.455,,Segment,1,4,Image 1,2,1,100000012,510000003147,
90.3158,,Segment,1,5,Image 1,2,1,100000012,510000003157,
104.938,,Segment,1,5,Image 1,3,1,100000012,510000003175,
140.333,,Segment,1,5,Image 1,2,1,100000012,510000003190,
109.265,,Segment,1,2,Image 1,2,1,100000012,510000003198,
103.75,,Segment,1,2,Image 1,2,1,100000012,510000003232,
112.92,,Segment,1,3,Image 1,2,1,100000012,510000003243,
102.435,,Segment,1,4,Image 1,1,1,100000013,510000003271,
143,,Segment,1,3,Image 1,2,1,100000013,510000003294,
98.1667,,Segment,1,4,Image 1,2,1,100000013,510000003296,
77.8,,Segment,1,4,Image 1,2,1,100000013,510000003319,
86.6667,,Segment,1,3,Image 1,2,1,100000013,510000003334,
93.2353,,Segment,1,4,Image 1,2,1,100000013,510000003336,
92.4706,,Segment,1,4,Image 1,3,1,100000013,510000003352,
204.75,,Segment,1,2,Image 1,1,1,100000013,510000003369,
151,,Segment,1,3,Image 1,1,1,100000013,510000003372,
106.667,,Segment,1,2,Image 1,2,1,100000013,510000003375,
98.7143,,Segment,1,2,Image 1,2,1,100000013,510000003389,
152,,Segment,1,1,Image 1,1,1,100000013,510000003402,
125.16,,Segment,1,2,Image 1,1,1,100000013,510000003405,
93.3571,,Segment,1,2,Image 1,2,1,100000013,510000003429,
99.3,,Segment,1,3,Image 1,3,1,100000013,510000003442,
105.565,,Segment,1,4,Image 1,3,1,100000013,510000003451,
73.9444,,Segment,1,3,Image 1,2,1,100000013,510000003473,
160.25,,Segment,1,1,Image 1,1,1,100000014,510000003491,
109.143,,Segment,1,4,Image 1,1,1,100000014,510000003501,
118.889,,Segment,1,3,Image 1,2,1,100000014,510000003507,
201,,Segment,1,1,Image 1,1,1,100000014,510000003515,
136.3,,Segment,1,3,Image 1,2,1,100000014,510000003518,
201,,Segment,1,1,Image 1,1,1,100000014,510000003527,
105.833,,Segment,1,2,Image 1,2,1,100000014,510000003529,
138.333,,Segment,1,2,Image 1,1,1,100000014,510000003552,
173.118,,Segment,1,3,Image 1,1,1,100000014,510000003554,
100.231,,Segment,1,3,Image 1,2,1,100000014,510000003570,
101,,Segment,1,4,Image 1,2,1,100000014,510000003582,
123.235,,Segment,1,2,Image 1,2,1,100000014,510000003592,
108.615,,Segment,1,4,Image 1,1,1,100000014,510000003609,
148.333,,Segment,1,4,Image 1,2,1,100000014,510000003635,
154,,Segment,1,2,Image 1,2,1,100000014,510000003640,
122,,Segment,1,3,Image 1,2,1,100000014,510000003647,
104.6,,Segment,1,3,Image 1,3,1,100000014,510000003656,
207,,Segment,1,0,Image 1,1,1,100000000,510000003676,
216.5,,Segment,1,1,Image 1,1,1,100000000,510000003677,
228,,Segment,1,1,Image 1,2,1,100000000,510000003678,
243,,Segment,1,2,Image 1,2,1,100000000,510000003679,
254.5,,Segment,1,1,Image 1,1,1,100000001,510000003680,
233.5,,Segment,1,1,Image 1,1,1,100000001,510000003681,
168.5,,Segment,1,2,Image 1,1,1,100000001,510000003682,
172,,Segment,1,4,Image 1,2,1,100000001,510000003683,
84.5,,Segment,1,4,Image 1,1,1,100000002,510000003684,
168.5,,Segment,1,1,Image 1,1,1,100000003,510000003685,
236,,Segment,1,1,Image 1,1,1,100000004,510000003686,
236,,Segment,1,2,Image 1,1,1,100000004,510000003687,
236,,Segment,1,2,Image 1,2,1,100000004,510000003688,
191.5,,Segment,1,3,Image 1,3,1,100000004,510000003689,
255,,Segment,1,0,Image 1,1,1,100000005,510000003690,
255,,Segment,1,1,Image 1,2,1,100000005,510000003691,
255,,Segment,1,2,Image 1,2,1,100000005,510000003692,
241,,Segment,1,3,Image 1,2,1,100000005,510000003693,
150.5,,Segment,1,6,Image 1,2,1,100000005,510000003694,
179,,Segment,1,3,Image 1,2,1,100000006,510000003695,
229.5,,Segment,1,1,Image 1,1,1,100000006,510000003696,
228.5,,Segment,1,1,Image 1,1,1,100000006,510000003697,
167,,Segment,1,2,Image 1,1,1,100000006,510000003698,
207,,Segment,1,1,Image 1,1,1,100000007,510000003699,
180.5,,Segment,1,1,Image 1,1,1,100000007,510000003700,
255,,Segment,1,3,Image 1,1,1,100000008,510000003701,
247,,Segment,1,1,Image 1,1,1,100000009,510000003702,
