
Segment Center Number of Voxel Ch=3 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Segment,3,0,Image 1,1,1,100000010,510000003339,
1,,Segment,3,0,Image 1,1,1,100000011,510000003340,
2,,Segment,3,1,Image 1,1,1,100000011,510000003341,
2,,Segment,3,1,Image 1,2,1,100000011,510000003342,
2,,Segment,3,2,Image 1,2,1,100000011,510000003343,
2,,Segment,3,3,Image 1,2,1,100000011,510000003344,
2,,Segment,3,1,Image 1,2,1,100000011,510000003345,
2,,Segment,3,2,Image 1,2,1,100000011,510000003346,
1,,Segment,3,0,Image 1,1,1,100000011,510000003347,
2,,Segment,3,1,Image 1,1,1,100000012,510000003348,
2,,Segment,3,1,Image 1,1,1,100000012,510000003349,
1,,Segment,3,1,Image 1,1,1,100000013,510000003350,
2,,Segment,3,2,Image 1,1,1,100000013,510000003351,
2,,Segment,3,2,Image 1,2,1,100000013,510000003352,
2,,Segment,3,3,Image 1,3,1,100000013,510000003353,
2,,Segment,3,2,Image 1,1,1,100000013,510000003354,
2,,Segment,3,3,Image 1,1,1,100000013,510000003355,
