
Segment Position Z
 ==================== 
Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
11.8342,µm,Segment,Segment Position,3,3,1,100000013,510000003292,
10.3608,µm,Segment,Segment Position,2,1,1,100000000,510000003309,
9,µm,Segment,Segment Position,1,1,1,100000000,510000003310,
11.5257,µm,Segment,Segment Position,2,1,1,100000000,510000003311,
5,µm,Segment,Segment Position,1,1,1,100000001,510000003312,
7.71017,µm,Segment,Segment Position,2,1,1,100000001,510000003313,
7,µm,Segment,Segment Position,1,1,1,100000002,510000003314,
7,µm,Segment,Segment Position,1,1,1,100000002,510000003315,
6.82741,µm,Segment,Segment Position,2,1,1,100000002,510000003316,
21,µm,Segment,Segment Position,0,1,1,100000003,510000003317,
19.3107,µm,Segment,Segment Position,1,1,1,100000003,510000003318,
19.3107,µm,Segment,Segment Position,1,2,1,100000003,510000003319,
17.5924,µm,Segment,Segment Position,2,2,1,100000003,510000003320,
3.25068,µm,Segment,Segment Position,6,4,1,100000003,510000003321,
5,µm,Segment,Segment Position,7,4,1,100000003,510000003322,
5,µm,Segment,Segment Position,7,5,1,100000003,510000003323,
18.7041,µm,Segment,Segment Position,4,5,1,100000003,510000003324,
21,µm,Segment,Segment Position,0,1,1,100000004,510000003325,
17.5007,µm,Segment,Segment Position,1,2,1,100000004,510000003326,
21,µm,Segment,Segment Position,0,1,1,100000004,510000003327,
5,µm,Segment,Segment Position,1,1,1,100000005,510000003328,
21,µm,Segment,Segment Position,1,1,1,100000006,510000003329,
18.0866,µm,Segment,Segment Position,2,2,1,100000006,510000003330,
21,µm,Segment,Segment Position,1,1,1,100000006,510000003331,
9,µm,Segment,Segment Position,1,1,1,100000007,510000003332,
9,µm,Segment,Segment Position,1,1,1,100000007,510000003333,
21,µm,Segment,Segment Position,0,1,1,100000008,510000003334,
17.4698,µm,Segment,Segment Position,1,1,1,100000008,510000003335,
21,µm,Segment,Segment Position,0,1,1,100000009,510000003336,
16.4773,µm,Segment,Segment Position,2,1,1,100000009,510000003337,
-26.2715,µm,Segment,Segment Position,0,1,1,100000010,510000003338,
-26.2715,µm,Segment,Segment Position,0,1,1,100000010,510000003339,
21,µm,Segment,Segment Position,0,1,1,100000011,510000003340,
18.4689,µm,Segment,Segment Position,1,1,1,100000011,510000003341,
