
Segment Center Intensity Sum Ch=1 Img=1
 ==================== 
Segment Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
348,,Segment,1,0,Image 1,1,1,100000010,510000003338,
352,,Segment,1,0,Image 1,1,1,100000010,510000003339,
255,,Segment,1,0,Image 1,1,1,100000011,510000003340,
510,,Segment,1,1,Image 1,1,1,100000011,510000003341,
510,,Segment,1,1,Image 1,2,1,100000011,510000003342,
465,,Segment,1,2,Image 1,2,1,100000011,510000003343,
446,,Segment,1,3,Image 1,2,1,100000011,510000003344,
510,,Segment,1,1,Image 1,2,1,100000011,510000003345,
486,,Segment,1,2,Image 1,2,1,100000011,510000003346,
227,,Segment,1,0,Image 1,1,1,100000011,510000003347,
460,,Segment,1,1,Image 1,1,1,100000012,510000003348,
510,,Segment,1,1,Image 1,1,1,100000012,510000003349,
255,,Segment,1,1,Image 1,1,1,100000013,510000003350,
478,,Segment,1,2,Image 1,1,1,100000013,510000003351,
510,,Segment,1,2,Image 1,2,1,100000013,510000003352,
352,,Segment,1,3,Image 1,3,1,100000013,510000003353,
251,,Segment,1,2,Image 1,1,1,100000013,510000003354,
258,,Segment,1,3,Image 1,1,1,100000013,510000003355,
