
Segment Position
 ==================== 
Segment Position X,Segment Position Y,Segment Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
110068,5438.67,5.49839,µm,Segment,Segment Position,5,4,1,100000013,510000003106,
109820,5931.44,7.63432,µm,Segment,Segment Position,5,5,1,100000003,510000001060,
109811,5948.5,3.25068,µm,Segment,Segment Position,6,4,1,100000003,510000003321,
109780,5902.44,-0.477608,µm,Segment,Segment Position,6,5,1,100000003,510000001012,
109788,5953.99,2.21103,µm,Segment,Segment Position,6,5,1,100000003,510000001062,
109818,5955.52,5,µm,Segment,Segment Position,7,4,1,100000003,510000003322,
109788,5946.51,13.7786,µm,Segment,Segment Position,7,5,1,100000003,510000001085,
109818,5955.52,5,µm,Segment,Segment Position,7,5,1,100000003,510000003323,
109845,5957.93,10.3755,µm,Segment,Segment Position,8,4,1,100000003,510000000951,
109837,5989.6,12.1094,µm,Segment,Segment Position,8,5,1,100000003,510000000961,
109821,5984.19,2.77292,µm,Segment,Segment Position,8,5,1,100000003,510000000979,
109815,5969.84,3.15812,µm,Segment,Segment Position,8,6,1,100000003,510000000995,
109829,6026.48,4.18818,µm,Segment,Segment Position,9,5,1,100000003,510000000986,
109780,5998.79,5.48761,µm,Segment,Segment Position,9,6,1,100000003,510000000997,
109811,6023.1,2.25728,µm,Segment,Segment Position,9,6,1,100000003,510000001077,
109792,5978.13,1.80959,µm,Segment,Segment Position,9,7,1,100000003,510000001072,
